,index,canonical_smiles,standard_value,bioactivity_binary,bioactivity_binary_class,bioactivity_multiclass
7542,7830,C#Cc1cccc(/N=C/c2cc(F)ccc2O)c1,256.0,inactive,0,intermediate
7543,7831,C#Cc1cccc(/N=C/c2cc(C#N)ccc2O)c1,256.0,inactive,0,intermediate
7544,7832,C#Cc1cccc(/N=C/c2cc(CC#N)ccc2O)c1,64.0,inactive,0,intermediate
7545,7833,C#Cc1cccc(/N=C/c2cc(OC)ccc2O)c1,128.0,inactive,0,intermediate
7546,7834,C#Cc1cccc(/N=C/c2ccccc2O)c1,256.0,inactive,0,intermediate
7547,7835,C#Cc1cccc(/N=C/c2cccc([N+](=O)[O-])c2)c1,16.0,active,1,active
7548,7836,C#Cc1cccc(/N=C/c2cc([N+](=O)[O-])ccc2OC)c1,256.0,inactive,0,intermediate
7549,7837,C#Cc1cccc(/N=C/c2ccc([N+](=O)[O-])cc2O)c1,256.0,inactive,0,intermediate
7550,7838,C#Cc1cccc(/N=C/c2cccc([N+](=O)[O-])c2O)c1,256.0,inactive,0,intermediate
7551,7839,C#Cc1cccc(/N=C/c2cc(O)ccc2[N+](=O)[O-])c1,256.0,inactive,0,intermediate
7552,7840,C#Cc1cccc(/N=C/c2cc([N+](=O)[O-])cc(Br)c2O)c1,256.0,inactive,0,intermediate
7553,7841,C#Cc1cccc(/N=C/c2cc(Cl)cc(Cl)c2O)c1,128.0,inactive,0,intermediate
7554,7842,C#Cc1cccc(NCc2cc(C(=O)OC)ccc2O)c1,256.0,inactive,0,intermediate
7555,7843,C#Cc1cccc(NCc2cc(F)ccc2O)c1,128.0,inactive,0,intermediate
7556,7844,C#Cc1cccc(NCc2cc(C#N)ccc2O)c1,256.0,inactive,0,intermediate
7557,7845,C#Cc1cccc(NCc2cc(CC#N)ccc2O)c1,256.0,inactive,0,intermediate
7558,7846,C#Cc1cccc(NCc2cc(OC)ccc2O)c1,256.0,inactive,0,intermediate
7559,7847,C#Cc1cccc(NCc2ccccc2O)c1,256.0,inactive,0,intermediate
7560,7848,C#Cc1cccc(NCc2cccc([N+](=O)[O-])c2)c1,256.0,inactive,0,intermediate
7561,7849,C#Cc1cccc(NCc2cc([N+](=O)[O-])ccc2OC)c1,256.0,inactive,0,intermediate
7562,7850,C#Cc1cccc(NCc2ccc([N+](=O)[O-])cc2O)c1,64.0,inactive,0,intermediate
7563,7851,C#Cc1cccc(NCc2cccc([N+](=O)[O-])c2O)c1,256.0,inactive,0,intermediate
7564,7852,C#Cc1cccc(NCc2cc([N+](=O)[O-])cc(Br)c2O)c1,256.0,inactive,0,intermediate
7565,7853,C#Cc1cccc(NCc2cc(Cl)cc(Cl)c2O)c1,256.0,inactive,0,intermediate
7566,7854,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,2.0,active,1,active
7567,7855,CN[C@@H]1[C@@H](O)[C@@H](O[C@@H]2[C@@H](O)[C@H](O[C@H]3O[C@H](CN)CC[C@H]3N)[C@@H](N)C[C@H]2N)OC[C@]1(C)O,32.0,active,1,intermediate
7568,7856,Cc1onc(-c2ccccc2)c1C(=O)N[C@@H]1C(=O)N2[C@@H](C(=O)O)C(C)(C)S[C@H]12,256.0,inactive,0,intermediate
7569,7857,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c(/C=N/N5CCN(C)CC5)c(O)c4c3C2=O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C,4.0,active,1,active
7570,7858,CN[C@H](CC(C)C)C(=O)N[C@H]1C(=O)N[C@@H](CC(N)=O)C(=O)N[C@H]2C(=O)N[C@H]3C(=O)N[C@H](C(=O)N[C@H](C(=O)O)c4cc(O)cc(O)c4-c4cc3ccc4O)[C@H](O)c3ccc(c(Cl)c3)Oc3cc2cc(c3O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O[C@H]2C[C@](C)(N)[C@H](O)[C@H](C)O2)Oc2ccc(cc2Cl)[C@H]1O,256.0,inactive,0,intermediate
7571,7859,CCOC(=O)c1nc(C(C)C)sc1-c1cnc2ccccc2c1,50000.0,inactive,0,inactive
7572,7860,CCOC(=O)c1nc(C(C)C)sc1-c1ccc(C#N)cc1,50000.0,inactive,0,inactive
7573,7861,CCOC(=O)c1nc(C2CCCCC2)sc1-c1ccccc1C#N,50000.0,inactive,0,inactive
7574,7862,CCOC(=O)c1nc(C2CCCCC2)sc1-c1cccc(C#N)c1,50000.0,inactive,0,inactive
7575,7863,CCOC(=O)c1nc(C2CCCCC2)sc1-c1ccc(C#N)cc1,50000.0,inactive,0,inactive
7576,7864,C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,8000000.0,inactive,0,inactive
7577,7865,Cc1ccc(C(C)C)cc1O,64.0,inactive,0,intermediate
7578,7866,CC(C)=CCC/C(C)=C/COc1cc(C(C)C)ccc1C,512.0,inactive,0,inactive
7579,7867,CC(C)=CCOc1cc(C(C)C)ccc1C,512.0,inactive,0,inactive
7580,7868,Cc1ccc(C(C)C)cc1OC(=O)CCN.Cl,128.0,inactive,0,intermediate
7581,7869,Cc1ccc(C(C)C)cc1OC(=O)[C@@H](C)N.Cl,64.0,inactive,0,intermediate
7582,7870,Cc1ccc(C(C)C)cc1OC(=O)CN.Cl,128.0,inactive,0,intermediate
